,city,mobility_type,t,h(t),f(t),S(t),F(t),f(t)_poly_2,f(t)_poly_3,f(t)_poly_4,h(t)_poly,f(t)_ma,h(t)_ma,Qmax,Mass,Delta
611,Dallas County,workplaces_percent_change_from_baseline,111.0,0.31578947368421056,0.14285714285714285,0.45238095238095233,0.5476190476190477,0.001781767549955264,-0.00014414988387749907,-0.0006378685877916129,0.003938644057795847,-1.3877787807814458e-18,-3.0677215154116174e-18,-81.0,-81.0,-36.0
612,Dallas County,workplaces_percent_change_from_baseline,112.0,0.6249999999999999,0.11904761904761901,0.19047619047619047,0.8095238095238095,0.0017960023486036309,-0.00011572118362393425,-0.000595589655927679,0.009429012330169063,0.009226190476190475,0.048437499999999994,-81.0,-81.0,-36.0
613,Dallas County,workplaces_percent_change_from_baseline,113.0,-0.6111111111111109,-0.13095238095238093,0.2142857142857143,0.7857142857142857,0.001809620218163247,-8.66777616054643e-05,-0.000552201680239001,0.008444894351428485,0.007738095238095238,0.03611111111111111,-81.0,-81.0,-36.0
614,Dallas County,workplaces_percent_change_from_baseline,114.0,-0.26315789473684204,-0.11904761904761901,0.45238095238095233,0.5476190476190477,0.0018226211586341123,-5.704408830307407e-05,-0.0005077453374171918,0.004028952034875407,0.0017857142857142891,0.0039473684210526395,-81.0,-81.0,-36.0
615,Dallas County,workplaces_percent_change_from_baseline,115.0,0.01315789473684206,0.005952380952380931,0.45238095238095233,0.5476190476190477,0.0018350051700162264,-2.6844634197749698e-05,-0.0004622613473620517,0.004056327217930606,0.002380952380952382,0.0052631578947368455,-81.0,-81.0,-36.0
616,Dallas County,workplaces_percent_change_from_baseline,116.0,-0.013513513513513592,-0.005952380952380987,0.44047619047619047,0.5595238095238095,0.001846772252309589,3.8961302295244075e-06,-0.00041579047318156606,0.004192672140378526,0.0017857142857142835,0.004054054054054049,-81.0,-81.0,-36.0
617,Dallas County,workplaces_percent_change_from_baseline,117.0,0.0,0.0,0.4642857142857143,0.5357142857142857,0.001857922405514201,3.515373449776123e-05,-0.00036837352119190384,0.004001679027261356,-0.00416666666666667,-0.00897435897435898,-81.0,-81.0,-36.0
618,Dallas County,workplaces_percent_change_from_baseline,118.0,0.3378378378378379,0.14880952380952384,0.44047619047619047,0.5595238095238095,0.0018684556296300616,6.69037081259768e-05,-0.00032005134091742105,0.004241899267268248,-0.0011904761904761904,-0.0027027027027027024,-81.0,-81.0,-36.0
619,Dallas County,workplaces_percent_change_from_baseline,119.0,0.7500000000000002,0.125,0.16666666666666663,0.8333333333333334,0.0018783719246571711,9.912158063318452e-05,-0.000270864825090659,0.01127023154794303,0.019940476190476192,0.11964285714285718,-81.0,-81.0,-36.0
620,Dallas County,workplaces_percent_change_from_baseline,120.0,-0.7812500000000002,-0.14880952380952384,0.19047619047619047,0.8095238095238095,0.0018876712905955297,0.00013178288153840043,-0.0002208549096523434,0.009910274275626532,0.016964285714285713,0.0890625,-81.0,-81.0,-36.0
